epoch,train_success,test_success
0,0.1,0.11333333333333333
1,0.11333333333333333,0.12333333333333334
2,0.13666666666666666,0.08333333333333333
3,0.09666666666666666,0.09333333333333334
4,0.12,0.11333333333333333
5,0.14,0.12
6,0.11666666666666667,0.12666666666666668
7,0.09333333333333334,0.11333333333333333
8,0.13,0.12333333333333334
9,0.17333333333333334,0.13
10,0.08,0.1
11,0.11,0.11666666666666667
12,0.13666666666666666,0.11333333333333333
13,0.12333333333333334,0.16
14,0.11666666666666667,0.12666666666666668
15,0.14666666666666667,0.08333333333333333
16,0.13,0.12
17,0.09,0.12333333333333334
18,0.11666666666666667,0.13
19,0.08333333333333333,0.09
20,0.12333333333333334,0.11333333333333333
21,0.13666666666666666,0.16666666666666666
22,0.09666666666666666,0.11666666666666667
23,0.13,0.12
24,0.12333333333333334,0.14333333333333334
25,0.12666666666666668,0.13666666666666666
26,0.12,0.15333333333333332
27,0.13,0.15666666666666668
28,0.15333333333333332,0.12666666666666668
29,0.14333333333333334,0.15333333333333332
30,0.09666666666666666,0.11666666666666667
31,0.13,0.11333333333333333
32,0.12333333333333334,0.09
33,0.12333333333333334,0.14666666666666667
34,0.11333333333333333,0.09666666666666666
35,0.08666666666666667,0.11
36,0.14333333333333334,0.14333333333333334
37,0.12666666666666668,0.11333333333333333
38,0.11666666666666667,0.15666666666666668
39,0.07666666666666666,0.08
40,0.15333333333333332,0.12333333333333334
41,0.13,0.11333333333333333
42,0.14,0.12
43,0.13333333333333333,0.14333333333333334
